seller_id,month,orders,GMV,net_value,avg_margin_proxy,refund_rate,dispute_rate,chargeback_rate,cancellation_rate,delay_rate,on_time_rate,promo_dependency_rate,repeat_buyer_rate,seller_quality_proxy,fragility_flag
S00001,2024-03,1,41.34,39.22,2.3899999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,63.78132559264634,stable
S00001,2024-06,2,95.72,93.78999999999999,5.3100000000000005,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,80.09486000835771,stable
S00001,2024-07,2,175.37,170.8,10.209999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,86.64395278553914,stable
S00001,2024-10,1,19.51,16.06,-2.32,0.0,0.0,0.0,0.0,1.0,0.0,0.15171706817016914,0.0,61.59149154279857,fragile
S00001,2024-11,2,197.07999999999998,172.34,2.955,0.0,0.0,0.0,0.5,1.0,0.0,0.07834381976862188,0.0,71.2153440227319,stable
S00001,2024-12,4,144.9,132.66,2.2924999999999995,0.0,0.25,0.25,0.0,1.0,0.0,0.034713595583160804,0.0,73.73136645962734,fragile
S00001,2025-01,1,36.36,35.19,3.89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.6985698569857,stable
S00001,2025-02,4,528.04,480.76,7.032500000000001,0.25,0.0,0.0,0.0,1.0,0.0,0.04819710627982729,0.0,73.84527687296416,stable
S00001,2025-03,1,190.56,180.93,19.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.99160369437448,stable
S00001,2025-04,5,624.67,579.0600000000001,9.802000000000001,0.0,0.0,0.4,0.0,1.0,0.0,0.0348664094641971,0.0,77.69707845742553,fragile
S00001,2025-05,1,94.06,93.4,10.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.96108866680842,stable
S00001,2025-06,4,415.8,396.98,10.93,0.0,0.0,0.25,0.5,1.0,0.0,0.009716209716209716,0.0,76.41750841750842,fragile
S00001,2025-07,4,388.42,337.04,1.0824999999999998,0.0,0.0,0.5,0.0,1.0,0.0,0.08846094433860253,0.0,69.23016322537461,fragile
S00001,2025-08,6,512.37,498.0,9.286666666666667,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.0062650038058434335,0.0,81.81230360872026,stable
S00001,2025-09,4,256.76,233.04000000000002,2.78,0.25,0.0,0.0,0.25,1.0,0.0,0.055499298956223714,0.0,69.77589967284624,stable
S00001,2025-10,5,440.47,395.26,4.37,0.0,0.2,0.0,0.4,1.0,0.0,0.054169409948464135,0.0,71.2189161577406,stable
S00001,2025-11,2,125.93,122.57,7.275,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,80.55403795759548,fragile
S00001,2025-12,6,545.0600000000001,505.67999999999995,8.798333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.0,0.015539573624922023,0.0,69.69644320502941,stable
S00001,2026-01,5,767.46,712.75,13.5,0.2,0.2,0.0,0.0,1.0,0.0,0.027701769473327597,0.0,75.31822896307301,stable
S00001,2026-02,6,417.94,394.53,6.208333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,1.0,0.0,0.023256926831602624,0.0,74.84685999585267,stable
S00002,2024-07,1,70.94,69.89,4.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,94.30109952072173,stable
S00002,2024-08,1,46.92,44.2,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.7152600170503,stable
S00002,2024-09,1,53.25,51.16,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.29577464788733,stable
S00002,2024-10,1,483.92,416.96,-17.93,0.0,1.0,0.0,0.0,0.0,1.0,0.13297652504546204,0.0,65.96507687221028,stable
S00002,2024-11,1,461.81,407.3,-4.46,0.0,0.0,0.0,0.0,1.0,0.0,0.10458846711851194,0.0,72.98835018730647,stable
S00002,2024-12,2,123.34,117.34,5.66,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,75.67788227663368,stable
S00002,2025-01,2,69.5,65.25999999999999,2.795,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,69.0431654676259,fragile
S00002,2025-02,1,329.09,320.86,39.46,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,75.99064085812392,stable
S00002,2025-03,2,225.24,205.31,5.334999999999999,0.0,0.5,0.0,0.0,0.0,0.5,0.03480731664002841,0.0,77.38909607529746,stable
S00002,2025-04,5,958.4200000000001,910.97,17.802,0.0,0.4,0.2,0.0,0.0,0.6,0.010872060265854218,0.0,82.77843951503515,stable
S00002,2025-05,2,450.19000000000005,437.91,24.6,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,92.92871898531732,stable
S00002,2025-06,1,101.02,96.96,9.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,67.30508810136607,stable
S00002,2025-07,3,191.93,174.16,2.23,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.04381805866722242,0.0,66.88079855502875,stable
S00002,2025-08,4,966.78,866.85,10.415,0.25,0.25,0.0,0.0,0.0,0.75,0.059527503671983284,0.0,78.21387492500878,stable
S00002,2025-09,3,517.87,453.7,2.9133333333333336,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.07907389885492498,0.0,84.89694324830556,stable
S00002,2025-10,2,90.11,88.42,3.9499999999999997,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,81.76706247919208,stable
S00002,2025-11,7,881.24,794.87,4.207142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5,0.0,0.0562162407516681,0.0,68.49400520046429,stable
S00002,2025-12,6,755.21,676.26,6.2316666666666665,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.04915189152686007,0.0,71.95942188265516,stable
S00002,2026-01,2,406.35,388.70000000000005,21.459999999999997,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,79.56232312046265,stable
