seller_id,current_period,governance_priority_score,governance_priority_tier,main_risk_driver,recommended_action,seller_quality_score,seller_quality_tier,fraud_exposure_score,fraud_exposure_tier,margin_fragility_score,margin_fragility_tier,orders,gmv,net_value
S00001,2026-02,44.78047738624815,Moderate,seller_quality,seller coaching required,71.16666666666667,High,35.57823129251701,Moderate,33.25468185313144,Moderate,28,2553.62,2363.83
S00002,2026-02,44.14995195606093,Moderate,seller_quality,seller coaching required,55.287356321839084,High,29.310344827586206,Low,46.3657600659627,Moderate,29,4166.91,3771.26
S00003,2026-02,39.088472342134025,Moderate,seller_quality,seller coaching required,66.63768115942028,High,23.39544513457557,Low,29.33660836137624,Low,23,2959.71,2749.94
S00004,2026-02,41.2938468179688,Moderate,seller_quality,seller coaching required,55.769230769230774,High,7.875457875457876,Low,39.43134052664042,Moderate,52,7850.34,7220.65
S00005,2026-02,38.97783746786583,Moderate,concentration_risk,seller coaching required,47.368421052631575,Moderate,17.63784461152882,Low,34.245022970744216,Moderate,76,4763.19,4360.65
S00006,2026-02,58.20127519897924,High,seller_quality,audit seller operations,78.89583333333334,Critical,39.12202380952381,Moderate,46.67123594812778,Moderate,32,11694.87,10701.5
S00007,2026-02,20.560353870164768,Low,seller_quality,monitor only,34.410256410256416,Moderate,0.0,Low,32.85764433081474,Moderate,13,1664.92,1534.19
S00008,2026-02,49.89362713866096,Moderate,seller_quality,seller coaching required,72.0,High,38.095238095238095,Moderate,38.651769823785735,Moderate,12,7471.030000000001,6967.83
S00009,2026-02,35.36876497280669,Moderate,seller_quality,seller coaching required,41.827160493827165,Moderate,26.4373897707231,Low,35.96807752484856,Moderate,27,2956.19,2712.24
S00010,2026-02,33.89671382773066,Moderate,seller_quality,seller coaching required,51.604938271604944,Moderate,13.932980599647266,Low,31.280831057637286,Moderate,27,3457.55,3207.81
S00011,2026-02,47.502853894067606,Moderate,seller_quality,seller coaching required,60.25000000000001,High,47.97619047619048,Moderate,30.617049955440404,Moderate,40,3611.88,3331.84
S00012,2026-02,36.8848062310514,Moderate,seller_quality,seller coaching required,58.78787878787879,High,29.047619047619047,Low,22.595219866033048,Low,22,2970.69,2748.48
S00013,2026-02,33.46831807388506,Moderate,seller_quality,seller coaching required,55.66666666666667,High,25.714285714285715,Low,33.426771736425835,Moderate,10,1607.3600000000001,1484.55
S00014,2026-02,54.6829413215745,Moderate,seller_quality,seller coaching required,96.00000000000001,Critical,55.07936507936508,High,40.010106035660954,Moderate,15,1398.4,1303.1799999999998
S00015,2026-02,49.37511376664036,Moderate,seller_quality,seller coaching required,72.88888888888889,High,28.783068783068778,Low,51.68273813701563,Moderate,36,3125.48,2797.19
S00016,2026-02,58.59633085756322,High,seller_quality,audit seller operations,77.98412698412699,Critical,35.4421768707483,Moderate,48.85542477499412,Moderate,70,8401.25,7615.6
S00017,2026-02,30.073689107229463,Moderate,concentration_risk,seller coaching required,37.42028985507247,Moderate,9.265010351966874,Low,23.526143795650686,Low,46,4878.36,4588.67
S00018,2026-02,26.8913929620499,Low,seller_quality,monitor only,40.03703703703704,Moderate,26.851851851851848,Low,14.86016357644247,Low,18,1911.5,1830.34
S00019,2026-02,40.49236504896054,Moderate,seller_quality,seller coaching required,55.142857142857146,High,17.312925170068027,Low,29.7366471711224,Low,70,5384.41,5012.05
S00020,2026-02,31.72456383159086,Moderate,seller_quality,seller coaching required,61.09090909090909,High,1.5151515151515154,Low,42.87933793465887,Moderate,11,2311.06,2199.23
S00021,2026-02,46.45208331727719,Moderate,seller_quality,seller coaching required,60.91787439613527,High,24.05106970324362,Low,37.921307012694506,Moderate,69,6038.23,5530.65
S00022,2026-02,41.70850045013259,Moderate,concentration_risk,seller coaching required,52.765151515151516,Moderate,13.636363636363638,Low,26.5358920270676,Low,88,13096.44,12344.5
S00023,2026-02,33.199514539414984,Moderate,seller_quality,seller coaching required,51.45833333333333,Moderate,15.079365079365079,Low,27.124299998885203,Low,48,2287.31,2113.26
